code	market	time	pinyin	name
000900	sz	1999-01-28	xdtz	现代投资
000901	sz	1999-04-01	htkj	航天科技
000902	sz	1999-04-08	xyf	新洋丰
000903	sz	1999-04-15	yndl	云内动力
000905	sz	1999-04-29	smgw	厦门港务
000906	sz	1999-07-07	zszt	浙商中拓
000908	sz	1999-02-03	jfyy	景峰医药
000909	sz	1999-05-07	sykj	数源科技
000910	sz	1999-06-30	dysx	大亚圣象
000911	sz	1999-05-27	nnty	南宁糖业
000912	sz	1999-06-03	lth	泸天化
000913	sz	1999-05-14	qj	*ST钱江
000915	sz	1999-06-09	sdht	山大华特
000916	sz	1999-09-27	hbgs	华北高速
000917	sz	1999-03-25	dgcm	电广传媒
000918	sz	1999-07-20	jkc	嘉凯城
000919	sz	1999-11-18	jlyy	金陵药业
000920	sz	1999-06-16	nfht	南方汇通
000921	sz	1999-07-13	hxkl	海信科龙
000922	sz	1999-06-18	*stjd	*ST佳电
000923	sz	1999-07-14	hbxg	河北宣工
000925	sz	1999-06-11	zhkj	众合科技
000926	sz	1999-06-18	fxgf	福星股份
000927	sz	1999-07-27	yqxl	一汽夏利
000928	sz	1999-03-12	zggj	中钢国际
000929	sz	1999-06-23	lzhh	兰州黄河
000930	sz	1999-07-12	zlsh	中粮生化
000931	sz	1999-07-12	zgc	中 关 村
000932	sz	1999-08-03	hlgt	华菱钢铁
000933	sz	1999-08-31	sh	*ST神火
000935	sz	1999-08-24	scsm	四川双马
000936	sz	1999-08-10	hxgf	华西股份
000937	sz	1999-09-09	jzny	冀中能源
000938	sz	1999-11-04	zggf	紫光股份
000939	sz	1999-09-23	kdst	凯迪生态
000948	sz	1999-10-14	ntxx	南天信息
000949	sz	1999-10-21	xxhx	新乡化纤
000950	sz	1999-09-16	jf	*ST建峰
000951	sz	1999-11-25	zgcq	中国重汽
000952	sz	1999-11-12	gjyy	广济药业
000953	sz	1999-12-02	*sthh	*ST河化
000955	sz	1999-12-09	xlkg	欣龙控股
000957	sz	2000-01-13	ztkc	中通客车
000958	sz	1999-12-23	dfny	东方能源
000959	sz	1999-12-16	sggf	首钢股份
000960	sz	2000-02-21	xygf	锡业股份
000961	sz	2000-03-01	znjs	中南建设
000962	sz	2000-01-20	dfty	东方钽业
000963	sz	2000-01-27	hdyy	华东医药
000965	sz	2000-04-06	tbjj	天保基建
000966	sz	2000-03-16	cydl	长源电力
000967	sz	2000-03-30	yfhj	盈峰环境
000968	sz	2000-06-22	mq	*ST煤气
000969	sz	2000-05-29	atkj	安泰科技
000970	sz	2000-04-20	zksh	中科三环
000971	sz	2000-04-27	gskg	高升控股
000972	sz	2000-09-26	zjjk	中基健康
000973	sz	2000-05-25	fskj	佛塑科技
000975	sz	2000-06-08	ytzy	银泰资源
000976	sz	2000-06-01	chgf	春晖股份
000977	sz	2000-06-08	lcxx	浪潮信息
000978	sz	2000-05-18	glly	桂林旅游
000979	sz	2000-06-16	zhgf	中弘股份
000980	sz	2000-06-16	jmgf	金马股份
000981	sz	2000-06-22	yygf	银亿股份
000982	sz	2000-07-06	zyry	中银绒业
000983	sz	2000-07-26	xsmd	西山煤电
000985	sz	2000-07-26	dqhk	大庆华科
000987	sz	2000-07-18	yxjk	越秀金控
000988	sz	2000-06-08	hgkj	华工科技
000989	sz	2000-06-28	jzt	九 芝 堂
000990	sz	2000-07-06	czgf	诚志股份
000993	sz	2000-07-31	mddl	闽东电力
000995	sz	2000-08-07	ht	*ST皇台
000996	sz	2000-07-18	zgzq	中国中期
000997	sz	2000-08-07	xdl	新 大 陆
000998	sz	2000-12-11	lpgk	隆平高科
000999	sz	2000-03-09	hrsj	华润三九
001696	sz	1997-03-06	zsdl	宗申动力
001896	sz	1998-01-22	ynkg	豫能控股
001979	sz	2015-12-30	zssk	招商蛇口
002001	sz	2004-06-25	xhc	新 和 成
002002	sz	2004-06-25	hdxy	鸿达兴业
002003	sz	2004-06-25	wxgf	伟星股份
002004	sz	2004-06-25	hbjk	华邦健康
002005	sz	2004-06-25	dhrd	德豪润达
002006	sz	2004-06-25	jgkj	精功科技
002007	sz	2004-06-25	hlsw	华兰生物
002008	sz	2004-06-25	dzjg	大族激光
002009	sz	2004-06-29	tqgf	天奇股份
002010	sz	2004-06-29	chzl	传化智联
002011	sz	2004-07-05	dahj	盾安环境
002012	sz	2004-07-05	kegf	凯恩股份
002013	sz	2004-07-05	zhjd	中航机电
002014	sz	2004-07-08	yxgf	永新股份
002015	sz	2004-07-08	xkhb	霞客环保
002016	sz	2004-07-08	srzy	世荣兆业
002017	sz	2004-07-13	dxhp	东信和平
002018	sz	2004-07-13	hxgj	华信国际
002019	sz	2004-07-13	yfyy	亿帆医药
002020	sz	2004-07-15	jxyy	京新药业
002021	sz	2004-07-15	zjzy	中捷资源
002022	sz	2004-07-21	khsw	科华生物
002023	sz	2004-07-21	htgx	海特高新
002024	sz	2004-07-21	snys	苏宁云商
